100 proof vodka,1,0,0,0,1
151 proof rum,359,0,1,1,3
180 citrus energy drink,1,0,0,0,10
1800 Reposado Tequila,3,0,0,0,6
1800 Silver Tequila,8,0,1,1,6
42 Below vodka,5,0,1,1,1
7-Up cherry soda,6,0,1,1,10
7-Up Diet soda,2,0,0,0,10
7-Up Plus Island Fruit soda,1,0,0,0,10
7-Up Plus soda,5,0,1,1,10
7-Up soda,608,0,1,1,10
99 Apples apple schnapps,7,0,1,1,7
99 Bananas banana schnapps,42,0,1,1,7
99 Blackberries blackberry schnapps,6,0,1,1,7
99 Oranges orange schnapps,3,0,0,0,7
A&W cream soda,6,0,1,1,10
A&W root beer,6,0,1,1,10
A1 steak sauce,3,0,0,0,15
Absente herbal liqueur,3,0,0,0,8
Absinth King of Spirits Gold liqueur,1,0,0,0,8
Absinthe herbal liqueur,88,0,1,1,8
Absolut 50 Red vodka,1,0,0,0,1
Absolut Apeach vodka,14,0,1,1,1
Absolut Citron vodka,177,0,1,1,1
Absolut Kurant vodka,76,0,1,1,1
Absolut Limon vodka,2,0,0,0,1
Absolut Mandrin vodka,86,0,1,1,1
Absolut peach vodka,6,0,1,1,1
Absolut Pears vodka,3,0,0,0,1
Absolut Peppar vodka,20,0,1,1,1
Absolut Raspberri vodka,18,0,1,1,1
Absolut Ruby Red vodka,3,0,0,0,1
Absolut vanilla vodka,28,0,1,1,1
Absolut Vodka,238,0,1,1,1
Acai juice,1,0,0,0,11
Acerola,1,0,0,0,14
Admiral Nelson spiced rum,3,0,0,0,3
Admiral Nelson's coconut rum,1,0,0,0,3
Advocaat liqueur,39,0,1,1,8
Aftershock,35,0,1,1,8
Aftershock Cool Citrus mint schnapps,5,0,1,1,8
Aftershock Hot & Cool cinnamon schnapps,50,0,1,1,8
Aftershock Thermal Bite spice schnapps,2,0,0,0,8
Agave juice,2,0,0,0,11
Agavero agave liqueur,1,0,0,0,8
Agavero tequila liqueur,2,0,0,0,6
Aged rum,1,0,0,0,3
Aged tequila,6,0,1,1,6
Aguardiente brandy,1,0,0,0,5
Alcohol-95 grain alcohol,1,0,0,0,19
Ale,3,0,0,0,13
Ale-8-One soda,1,0,0,0,10
Alexander Keith's India Pale Ale,1,0,0,0,9
Alexander Keith's Red Amber Ale,1,0,0,0,9
Alize Bleu liqueur,9,0,1,1,8
Alize cognac,7,0,1,1,5
Alize Gold Passion liqueur,28,0,1,1,8
Alize Red Passion liqueur,25,0,1,1,8
Allen's coffee brandy,1,0,0,0,5
Allspice,17,0,1,1,15
Almond,7,0,1,1,14
Almond extract,5,0,1,1,14
Almond flavoring,6,0,1,1,14
Almond liqueur,1,0,0,0,8
Almond syrup,11,0,1,1,11
Amade ChocOrange liqueur,1,0,0,0,8
Amadeus almond liqueur,2,0,0,0,8
Amaretto almond liqueur,1018,0,1,1,8
Amaretto cream liqueur,1,0,0,0,8
